Id,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10332,MEREP,3,10/17/2012 00:00:00,2012-11-28,2012-10-21,2,0x32362E35,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10333,WARTH,5,10/18/2012 00:00:00,2012-11-15,2012-10-25,3,0x3235,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10334,VICTE,8,10/21/2012 00:00:00,2012-11-18,2012-10-28,2,0x31342E35,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France
10335,HUNGO,7,10/22/2012 00:00:00,2012-11-19,2012-10-24,2,0x33312E35,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10336,PRINI,7,10/23/2012 00:00:00,2012-11-20,2012-10-25,2,0x31342E35,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal
10337,FRANK,4,10/24/2012 00:00:00,2012-11-21,2012-10-29,3,0x34342E3235,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10338,OLDWO,4,10/25/2012 00:00:00,2012-11-22,2012-10-29,3,0x31382E3735,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA
10339,MEREP,2,10/28/2012 00:00:00,2012-11-25,2012-11-04,2,0x3337,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10340,BONAP,1,10/29/2012 00:00:00,2012-11-26,2012-11-08,3,0x3238,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
10341,SIMOB,7,10/29/2012 00:00:00,2012-11-26,2012-11-05,3,0x31342E3235,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark
10342,FRANK,4,10/30/2012 00:00:00,2012-11-13,2012-11-04,2,0x3530,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10343,LEHMS,4,10/31/2012 00:00:00,2012-11-28,2012-11-06,1,0x32372E3235,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10344,WHITC,4,11/01/2012 00:00:00,2012-11-29,2012-11-05,2,0x33362E3235,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
10345,QUICK,2,11/04/2012 00:00:00,2012-12-02,2012-11-11,2,0x34392E3735,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10346,RATTC,3,11/05/2012 00:00:00,2012-12-17,2012-11-08,3,0x3234,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10347,FAMIA,4,11/06/2012 00:00:00,2012-12-04,2012-11-08,3,0x32372E35,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10348,WANDK,4,11/07/2012 00:00:00,2012-12-05,2012-11-15,2,0x3230,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10349,SPLIR,7,11/08/2012 00:00:00,2012-12-06,2012-11-15,1,0x3136,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10350,LAMAI,6,11/11/2012 00:00:00,2012-12-09,2012-12-03,2,0x31382E3235,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10351,ERNSH,1,11/11/2012 00:00:00,2012-12-09,2012-11-20,1,0x3430,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10352,FURIB,3,11/12/2012 00:00:00,2012-11-26,2012-11-18,3,0x31372E35,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal
10353,PICCO,7,11/13/2012 00:00:00,2012-12-11,2012-11-25,3,0x32352E35,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria
10354,PERIC,8,11/14/2012 00:00:00,2012-12-12,2012-11-20,3,0x3134,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico
10355,AROUT,6,11/15/2012 00:00:00,2012-12-13,2012-11-20,1,0x32322E35,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10356,WANDK,6,11/18/2012 00:00:00,2012-12-16,2012-11-27,2,0x32352E35,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10357,LILAS,1,11/19/2012 00:00:00,2012-12-17,2012-12-02,3,0x32332E35,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10358,LAMAI,5,11/20/2012 00:00:00,2012-12-18,2012-11-27,1,0x3230,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10359,SEVES,5,11/21/2012 00:00:00,2012-12-19,2012-11-26,3,0x36312E35,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10360,BLONP,4,11/22/2012 00:00:00,2012-12-20,2012-12-02,3,0x34342E35,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10361,QUICK,1,11/22/2012 00:00:00,2012-12-20,2012-12-03,2,0x33372E3235,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10362,BONAP,3,11/25/2012 00:00:00,2012-12-23,2012-11-28,1,0x33332E35,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
10363,DRACD,4,11/26/2012 00:00:00,2012-12-24,2012-12-04,3,0x3231,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany
10364,EASTC,1,11/26/2012 00:00:00,2013-01-07,2012-12-04,1,0x31382E3735,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10365,ANTO,3,11/27/2012 00:00:00,2012-12-25,2012-12-02,2,0x3136,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,05023,Mexico
10366,GALED,8,11/28/2012 00:00:00,2013-01-09,2012-12-30,2,0x31322E35,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain
10367,VAFFE,7,11/28/2012 00:00:00,2012-12-26,2012-12-02,3,0x3239,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark
10368,ERNSH,2,11/29/2012 00:00:00,2012-12-27,2012-12-02,2,0x32392E35,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10369,SPLIR,8,12/02/2012 00:00:00,2012-12-30,2012-12-09,2,0x31392E35,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10370,CHOPS,6,12/03/2012 00:00:00,2012-12-31,2012-12-27,2,0x32362E3235,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland
10371,LAMAI,1,12/03/2012 00:00:00,2012-12-31,2012-12-24,1,0x31312E35,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10372,QUEE,5,12/04/2012 00:00:00,2013-01-01,2012-12-09,2,0x3531,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil
10373,HUNGO,4,12/05/2012 00:00:00,2013-01-02,2012-12-11,3,0x34322E35,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10374,WOLZA,1,12/05/2012 00:00:00,2013-01-02,2012-12-09,3,0x32312E3235,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland
10375,HUNGC,3,12/06/2012 00:00:00,2013-01-03,2012-12-09,2,0x31362E3235,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA
10376,MEREP,1,12/09/2012 00:00:00,2013-01-06,2012-12-13,2,0x32302E35,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10377,SEVES,1,12/09/2012 00:00:00,2013-01-06,2012-12-13,3,0x3230,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10378,FOLKO,5,12/10/2012 00:00:00,2013-01-07,2012-12-19,3,0x31312E35,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10379,QUEDE,2,12/11/2012 00:00:00,2013-01-08,2012-12-13,1,0x3231,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10380,HUNGO,8,12/12/2012 00:00:00,2013-01-09,2013-01-16,3,0x32382E35,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10381,LILAS,3,12/12/2012 00:00:00,2013-01-09,2012-12-13,3,0x31332E35,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10382,ERNSH,4,12/13/2012 00:00:00,2013-01-10,2012-12-16,1,0x35312E3235,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10383,AROUT,8,12/16/2012 00:00:00,2013-01-13,2012-12-18,3,0x32332E3735,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10384,BERGS,3,12/16/2012 00:00:00,2013-01-13,2012-12-20,3,0x32302E3735,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10385,SPLIR,1,12/17/2012 00:00:00,2013-01-14,2012-12-23,2,0x31392E35,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10386,FAMIA,9,12/18/2012 00:00:00,2013-01-01,2012-12-25,3,0x31362E3235,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10387,SANTG,1,12/18/2012 00:00:00,2013-01-15,2012-12-20,2,0x3232,Santé Gourmet,Erling Skakkes gate 78,Stavern,Scandinavia,4110,Norway
10388,SEVES,2,12/19/2012 00:00:00,2013-01-16,2012-12-20,1,0x32382E3735,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10389,BOTTM,4,12/20/2012 00:00:00,2013-01-17,2012-12-24,2,0x33302E3235,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10390,ERNSH,6,12/23/2012 00:00:00,2013-01-20,2012-12-26,1,0x35322E3235,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10391,DRACD,3,12/23/2012 00:00:00,2013-01-20,2012-12-31,3,0x31342E35,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany
10392,PICCO,2,12/24/2012 00:00:00,2013-01-21,2013-01-01,3,0x32322E35,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria
10393,SAVEA,1,12/25/2012 00:00:00,2013-01-22,2013-01-03,3,0x3534,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10394,HUNGC,1,12/25/2012 00:00:00,2013-01-22,2013-01-03,3,0x3135,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA
10395,HILAA,6,12/26/2012 00:00:00,2013-01-23,2013-01-03,1,0x33362E35,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela
10396,FRANK,1,12/27/2012 00:00:00,2013-01-10,2013-01-06,3,0x34302E3235,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10397,PRINI,5,12/27/2012 00:00:00,2013-01-24,2013-01-02,1,0x3137,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal
10398,SAVEA,2,12/30/2012 00:00:00,2013-01-27,2013-01-09,3,0x34372E35,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10399,VAFFE,8,12/31/2012 00:00:00,2013-01-14,2013-01-08,3,0x34342E3735,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark
10400,EASTC,1,01/01/2013 00:00:00,2013-01-29,2013-01-16,3,0x33312E35,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10401,RATTC,1,01/01/2013 00:00:00,2013-01-29,2013-01-10,1,0x3532,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10402,ERNSH,8,01/02/2013 00:00:00,2013-02-13,2013-01-10,2,0x34312E3235,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10403,ERNSH,4,01/03/2013 00:00:00,2013-01-31,2013-01-09,3,0x33322E3735,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10404,MAGAA,2,01/03/2013 00:00:00,2013-01-31,2013-01-08,1,0x3335,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10405,LINOD,1,01/06/2013 00:00:00,2013-02-03,2013-01-22,1,0x32322E35,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela
